targetAmount,raisedAmount,supporters,targetDate,datetime,timestamp,timestamp_numeric,Data_Type
500000.0,5139841,5021.0,2023-11-10,2023-10-09 23:59:04,2023-10-09 23:59:04,1696895944.0,Real
500000.0,5450447,5105.0,2023-11-10,2023-10-10 23:11:04,2023-10-10 23:11:04,1696979464.0,Real
500000.0,5510656,5175.0,2023-11-10,2023-10-11 23:26:04,2023-10-11 23:26:04,1697066764.0,Real
500000.0,5584927,5225.0,2023-11-10,2023-10-12 23:59:03,2023-10-12 23:59:03,1697155143.0,Real
500000.0,5624933,5275.0,2023-11-10,2023-10-13 23:37:04,2023-10-13 23:37:04,1697240224.0,Real
500000.0,5661718,5306.0,2023-11-10,2023-10-14 23:27:04,2023-10-14 23:27:04,1697326024.0,Real
500000.0,5679969,5334.0,2023-11-10,2023-10-15 22:17:04,2023-10-15 22:17:04,1697408224.0,Real
500000.0,5733989,5386.0,2023-11-10,2023-10-16 23:59:04,2023-10-16 23:59:04,1697500744.0,Real
500000.0,5763368,5425.0,2023-11-10,2023-10-17 23:34:05,2023-10-17 23:34:05,1697585645.0,Real
500000.0,5799297,5464.0,2023-11-10,2023-10-18 22:23:04,2023-10-18 22:23:04,1697667784.0,Real
500000.0,5819305,5496.0,2023-11-10,2023-10-19 23:12:04,2023-10-19 23:12:04,1697757124.0,Real
500000.0,5872572,5543.0,2023-11-10,2023-10-20 23:59:04,2023-10-20 23:59:04,1697846344.0,Real
500000.0,5891748,5564.0,2023-11-10,2023-10-21 22:12:04,2023-10-21 22:12:04,1697926324.0,Real
500000.0,5920276,5591.0,2023-11-10,2023-10-22 23:59:03,2023-10-22 23:59:03,1698019143.0,Real
500000.0,5950190,5619.0,2023-11-10,2023-10-23 23:56:04,2023-10-23 23:56:04,1698105364.0,Real
500000.0,5985736,5650.0,2023-11-10,2023-10-24 22:26:03,2023-10-24 22:26:03,1698186363.0,Real
500000.0,6031413,5688.0,2023-11-10,2023-10-25 18:11:05,2023-10-25 18:11:05,1698257465.0,Real
,6121576,,,,2023-10-26 18:11:05,,Predicted
,6166923,,,,2023-10-27 18:11:05,,Predicted
,6212271,,,,2023-10-28 18:11:05,,Predicted
,6257618,,,,2023-10-29 18:11:05,,Predicted
,6302966,,,,2023-10-30 18:11:05,,Predicted
,6348313,,,,2023-10-31 18:11:05,,Predicted
,6393661,,,,2023-11-01 18:11:05,,Predicted
,6439008,,,,2023-11-02 18:11:05,,Predicted
,6484356,,,,2023-11-03 18:11:05,,Predicted
,6529703,,,,2023-11-04 18:11:05,,Predicted
,6575051,,,,2023-11-05 18:11:05,,Predicted
,6620398,,,,2023-11-06 18:11:05,,Predicted
,6665746,,,,2023-11-07 18:11:05,,Predicted
,6711093,,,,2023-11-08 18:11:05,,Predicted
,6756441,,,,2023-11-09 18:11:05,,Predicted
,6801789,,,,2023-11-10 18:11:05,,Predicted
