raisedAmount,datetime
3000000.0,2023-10-06 23:59:00
3880107.0,2023-10-07 23:58:04
5028131.0,2023-10-08 23:59:04
5139841.0,2023-10-09 23:59:04
5450447.0,2023-10-10 23:11:04
5510656.0,2023-10-11 23:26:04
5584927.0,2023-10-12 23:59:03
5624933.0,2023-10-13 23:37:04
5661718.0,2023-10-14 23:27:04
5679969.0,2023-10-15 22:17:04
5733989.0,2023-10-16 23:59:04
5763368.0,2023-10-17 23:34:05
5799297.0,2023-10-18 22:23:04
5819305.0,2023-10-19 23:12:04
5872572.0,2023-10-20 23:59:04
5891748.0,2023-10-21 22:12:04
5920276.0,2023-10-22 23:59:03
5950190.0,2023-10-23 23:56:04
5985736.0,2023-10-24 22:26:03
6071364.0,2023-10-25 23:59:05
6123279.0,2023-10-26 23:13:04
6157880.0,2023-10-27 16:43:05
