paid_at,created_at,total,total_amount
2020-10-17,2020-10-17,3007,524949.27
2020-10-18,2020-10-18,5652,648096.97
2020-10-19,2020-10-19,2174,256318.27
2020-10-20,2020-10-20,2503,319434.94
2020-10-21,2020-10-21,1404,175432.5
2020-10-22,2020-10-22,1362,170826.69
2020-10-23,2020-10-23,890,115220.01
2020-10-24,2020-10-24,353,42552.01
2020-10-25,2020-10-25,314,38753.0
2020-10-26,2020-10-26,322,43876.0
2020-10-27,2020-10-27,236,32736.5
2020-10-28,2020-10-28,202,26780.01
2020-10-29,2020-10-29,189,27451.0
2020-10-30,2020-10-30,222,31700.0
2020-10-31,2020-10-31,207,25045.0
2020-11-01,2020-11-01,306,33665.0
2020-11-02,2020-11-02,225,29350.0
2020-11-03,2020-11-03,221,28480.01
2020-11-04,2020-11-04,212,25550.0
2020-11-05,2020-11-05,201,28818.67
2020-11-06,2020-11-06,174,24300.0
2020-11-07,2020-11-07,136,16000.0
2020-11-08,2020-11-08,138,20952.0
2020-11-09,2020-11-09,165,24140.0
2020-11-10,2020-11-10,152,20520.0
2020-11-11,2020-11-11,124,17300.01
2020-11-12,2020-11-12,107,14744.0
2020-11-13,2020-11-13,107,18981.0
2020-11-14,2020-11-14,89,10860.0
2020-11-15,2020-11-15,104,14700.0
2020-11-16,2020-11-16,100,12165.0
2020-11-17,2020-11-17,107,17030.0
2020-11-18,2020-11-18,96,11650.0
2020-11-19,2020-11-19,99,11855.0
2020-11-20,2020-11-20,103,15805.21
2020-11-21,2020-11-21,76,10990.0
2020-11-22,2020-11-22,85,13940.0
2020-11-23,2020-11-23,105,15070.0
2020-11-24,2020-11-24,96,14250.0
2020-11-25,2020-11-25,98,13730.0
2020-11-26,2020-11-26,99,15390.0
2020-11-27,2020-11-27,111,15650.0
2020-11-28,2020-11-28,101,13600.0
2020-11-29,2020-11-29,99,12960.0
2020-11-30,2020-11-30,195,24830.01
2020-12-01,2020-12-01,201,27587.0
2020-12-02,2020-12-02,170,25851.0
2020-12-03,2020-12-03,145,18200.0
2020-12-04,2020-12-04,227,33530.0
2020-12-05,2020-12-05,194,26645.09
2020-12-06,2020-12-06,243,35931.0
2020-12-07,2020-12-07,259,39240.0
2020-12-08,2020-12-08,250,37240.0
2020-12-09,2020-12-09,292,44600.0
2020-12-10,2020-12-10,323,46760.0
2020-12-11,2020-12-11,373,50856.0
2020-12-12,2020-12-12,328,44881.0
2020-12-13,2020-12-13,432,56500.0
2020-12-14,2020-12-14,579,80470.0
2020-12-15,2020-12-15,1442,185226.12
2020-12-16,2020-12-16,2441,297603.48
2020-12-17,2020-12-17,1422,155902.01
